col1,ans
123456780,0
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135042786,7
135742086,8
135742806,9
135742860,10
135740862,11
130745862,12
103745862,13
143705862,14
143765802,15
143765082,16
143065782,17
43165782,18
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135042786,7
135742086,8
135742806,9
135742860,10
135740862,11
130745862,12
103745862,13
143705862,14
143750862,15
143752860,16
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123745860,6
123740865,7
123704865,8
103724865,9
130724865,10
134720865,11
134702865,12
134762805,13
134762850,14
134760852,15
134706852,16
104736852,17
140736852,18
146730852,19
146703852,20
146073852,21
46173852,22
406173852,23
460173852,24
123456780,0
123456708,1
123406758,2
103426758,3
13426758,4
413026758,5
413726058,6
413726508,7
413706528,8
403716528,9
430716528,10
436710528,11
436701528,12
436071528,13
36471528,14
306471528,15
360471528,16
361470528,17
361407528,18
361427508,19
361427580,20
361420587,21
361402587,22
361482507,23
361482057,24
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123745860,6
123740865,7
123704865,8
103724865,9
130724865,10
134720865,11
134702865,12
134762805,13
134762850,14
134760852,15
134706852,16
134076852,17
134876052,18
134876502,19
134806572,20
134860572,21
134862570,22
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152483706,5
152483076,6
152083476,7
152803476,8
152830476,9
152836470,10
152836407,11
152836047,12
152036847,13
152306847,14
152346807,15
152346870,16
152340876,17
152304876,18
102354876,19
12354876,20
312054876,21
312504876,22
302514876,23
320514876,24
123456780,0
123450786,1
123405786,2
123045786,3
23145786,4
203145786,5
243105786,6
243015786,7
243715086,8
243715806,9
243705816,10
243075816,11
43275816,12
403275816,13
430275816,14
435270816,15
435276810,16
435276801,17
435206871,18
435260871,19
430265871,20
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136428750,6
136428705,7
136408725,8
106438725,9
160438725,10
168430725,11
168435720,12
168435702,13
168435072,14
168035472,15
68135472,16
