col1,col2,col3,ans
123,456,780,0
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,402,786,6
135,42,786,7
35,142,786,8
305,142,786,9
350,142,786,10
352,140,786,11
352,104,786,12
352,184,706,13
352,184,76,14
352,84,176,15
52,384,176,16
502,384,176,17
582,304,176,18
582,374,106,19
582,374,16,20
582,74,316,21
82,574,316,22
802,574,316,23
872,504,316,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,483,706,5
152,483,760,6
152,480,763,7
152,408,763,8
152,48,763,9
152,748,63,10
152,748,603,11
152,748,630,12
152,740,638,13
152,704,638,14
152,74,638,15
52,174,638,16
502,174,638,17
572,104,638,18
572,134,608,19
572,134,680,20
572,130,684,21
570,132,684,22
507,132,684,23
537,102,684,24
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
123,805,476,6
103,825,476,7
13,825,476,8
813,25,476,9
813,425,76,10
813,425,706,11
813,405,726,12
813,450,726,13
813,456,720,14
813,456,702,15
813,406,752,16
803,416,752,17
83,416,752,18
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
23,146,758,4
203,146,758,5
243,106,758,6
243,156,708,7
243,156,78,8
243,56,178,9
243,506,178,10
243,560,178,11
240,563,178,12
204,563,178,13
24,563,178,14
524,63,178,15
524,603,178,16
524,630,178,17
524,638,170,18
524,638,107,19
524,638,17,20
524,38,617,21
524,308,617,22
504,328,617,23
54,328,617,24
354,28,617,25
354,208,617,26
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,483,706,5
152,483,76,6
152,83,476,7
52,183,476,8
502,183,476,9
582,103,476,10
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,430,786,5
152,436,780,6
152,436,708,7
152,406,738,8
152,46,738,9
152,746,38,10
152,746,308,11
152,746,380,12
152,740,386,13
152,704,386,14
152,74,386,15
152,374,86,16
152,374,806,17
152,374,860,18
123,456,780,0
123,456,708,1
