,col1,ans
0,1234567891011121314150,0
1,1234567891011121314150,0
2,1234567891011121314015,1
3,1234567891001213141115,2
4,1234560891071213141115,3
5,1204563891071213141115,4
6,1024563891071213141115,5
7,124563891071213141115,6
8,5124063891071213141115,7
9,5124603891071213141115,8
10,5124630891071213141115,9
11,5124637891001213141115,10
12,5124637891012013141115,11
13,5124637891012151314110,12
14,5124637891012151314011,13
15,5124637891001513141211,14
16,5124637890101513141211,15
17,5124637891410151301211,16
18,5124637891410151312011,17
19,5124637891401513121011,18
20,5124637890141513121011,19
21,5124607893141513121011,20
22,5024617893141513121011,21
23,5204617893141513121011,22
24,5274610893141513121011,23
25,5274601893141513121011,24
26,5074621893141513121011,25
27,574621893141513121011,26
28,6574021893141513121011,27
29,6574921803141513121011,28
30,6574921830141513121011,29
31,6574901832141513121011,30
32,6574910832141513121011,31
33,6574918032141513121011,32
34,6570918432141513121011,33
35,6507918432141513121011,34
36,1234567891011121314150,0
37,1234567891011121314015,1
38,1234567891011121301415,2
39,1234567890111213101415,3
40,1234507896111213101415,4
41,1234570896111213101415,5
42,1234571189601213101415,6
43,1234571189612013101415,7
44,1234571109612813101415,8
45,1230571149612813101415,9
46,1203571149612813101415,10
47,1211357049612813101415,11
48,1211357124960813101415,12
49,1211357124906813101415,13
50,1211357124910681301415,14
51,1211357124910681314015,15
52,1211357124910681314150,16
53,1211357124910601314158,17
54,1211357124910061314158,18
55,1211357124910156131408,19
56,1211357124910156130148,20
57,1211357124901561310148,21
58,1211350124971561310148,22
59,1011352124971561310148,23
60,1110352124971561310148,24
61,1111235204971561310148,25
62,1111235215497061310148,26
63,1111235215490761310148,27
64,1111235215409761310148,28
65,1111235215413976010148,29
66,1111235215413976100148,30
67,1111235215413976101408,31
68,1111235215413906101478,32
69,1234567891011121314150,0
70,1234567891011013141512,1
71,1234567091011813141512,2
72,1230567491011813141512,3
73,1203567491011813141512,4
74,1273560491011813141512,5
75,1273506491011813141512,6
76,1273056491011813141512,7
77,1273956401011813141512,8
78,1273956413101180141512,9
79,1273956413101181401512,10
80,1273956413101181415012,11
81,1273956413100814151112,12
82,1273956413010814151112,13
83,1273906413510814151112,14
84,1273096413510814151112,15
85,273196413510814151112,16
86,2073196413510814151112,17
87,2973106413510814151112,18
88,2973156413010814151112,19
89,2973156413100814151112,20
90,1234567891011121314150,0
91,1234567891011013141512,1
92,1234567091011813141512,2
93,1234560791011813141512,3
94,1234506791011813141512,4
95,1034526791011813141512,5
96,1304526791011813141512,6
97,1364520791011813141512,7
98,1364521179100813141512,8
99,1364521179101581314012,9
100,1364521179101581314120,10
101,1364521179101501314128,11
102,1364521179100151314128,12
103,1364520791011151314128,13
104,1364527091011151314128,14
105,1364527159101101314128,15
106,1364527159100111314128,16
107,1364527159101211131408,17
108,1364527159101211130148,18
109,1364527159101211013148,19
110,1364527150101211913148,20
111,1364527151001211913148,21
112,1364507151021211913148,22
113,1234567891011121314150,0
114,1234567891011121314015,1
115,1234567891001213141115,2
116,1234567890101213141115,3
117,1234567891410121301115,4
118,1234567891410121311015,5
119,1234567891401213111015,6
120,1234560891471213111015,7
121,1234506891471213111015,8
122,1234056891471213111015,9
123,234156891471213111015,10
124,2034156891471213111015,11
125,2534106891471213111015,12
126,2534114689071213111015,13
127,2534114680971213111015,14
128,2534014681971213111015,15
129,2534140681971213111015,16
130,2534146081971213111015,17
131,2534146801971213111015,18
132,2534146812197013111015,19
133,2534146812197151311100,20
134,2534146812197151311010,21
135,2534146812197151301110,22
136,2534146812197150131110,23
137,2534146812097151131110,24
138,2534146812907151131110,25
139,2534140812967151131110,26
140,2034145812967151131110,27
141,2304145812967151131110,28
142,2384145012967151131110,29
143,2384145712960151131110,30
144,2384145712961115113010,31
145,2384145712961115101310,32
146,1234567891011121314150,0
147,1234567891011013141512,1
148,1234567891001113141512,2
149,1234560891071113141512,3
150,1204563891071113141512,4
151,1024563891071113141512,5
152,1624503891071113141512,6
153,1624053891071113141512,7
154,1624953801071113141512,8
155,1624953813107110141512,9
156,1624953813107111401512,10
157,1624953813107111415012,11
158,1624953813100111415712,12
159,1624953813101101415712,13
160,1624953813101112141570,14
161,1624953813101112141507,15
162,1624953813101112140157,16
163,1624953813011121410157,17
164,1624903813511121410157,18
165,1624093813511121410157,19
166,1624139380511121410157,20
167,1624139381451112010157,21
168,1624139381451112100157,22
169,1624139381401112105157,23
170,1624139381411012105157,24
171,1624139081411312105157,25
172,1604139281411312105157,26
173,1064139281411312105157,27
174,164139281411312105157,28
175,1234567891011121314150,0
176,1234567891011013141512,1
177,1234567891001113141512,2
178,1234560891071113141512,3
179,1234568091071113141512,4
180,1234568119107013141512,5
181,1234568119100713141512,6
182,1234568119010713141512,7
183,1234508119610713141512,8
184,1034528119610713141512,9
185,1304528119610713141512,10
186,1384520119610713141512,11
187,1384521011960713141512,12
188,1384521011906713141512,13
189,1384521011096713141512,14
190,1384021011596713141512,15
191,1384201011596713141512,16
192,1384210011596713141512,17
193,1384210611590713141512,18
194,1384210611591571314012,19
195,1384210611591571301412,20
196,1384210611501571391412,21
197,1384206115101571391412,22
198,1384260115101571391412,23
199,1384261105101571391412,24
200,1380261145101571391412,25
201,1308261145101571391412,26
202,1038261145101571391412,27
203,1638201145101571391412,28
204,1638021145101571391412,29
205,1638521140101571391412,30
206,1638521141310157091412,31
207,1638521141310157901412,32
208,1234567891011121314150,0
209,1234567891011013141512,1
210,1234567091011813141512,2
211,1234560791011813141512,3
212,1234506791011813141512,4
213,1234056791011813141512,5
214,1234956701011813141512,6
215,1234956710011813141512,7
216,1234956710110813141512,8
217,1234950710116813141512,9
218,1234905710116813141512,10
219,1234911571006813141512,11
220,1234911571060813141512,12
221,1234911571068013141512,13
222,1234911571068121314150,14
223,1234911571068121314015,15
224,1234911571060121314815,16
225,1234911571061201314815,17
226,1234911501061271314815,18
227,1230911541061271314815,19
228,1203911541061271314815,20
229,1253911041061271314815,21
230,1253901141061271314815,22
231,1234567891011121314150,0
232,1234567891011013141512,1
233,1234567891001113141512,2
234,1234567890101113141512,3
235,1234507896101113141512,4
236,1234057896101113141512,5
237,1234957806101113141512,6
238,1234957860101113141512,7
239,1234957861001113141512,8
240,1234957861011013141512,9
241,1234957061011813141512,10
242,1230957461011813141512,11
243,1203957461011813141512,12
244,1273950461011813141512,13
245,1273905461011813141512,14
246,1073925461011813141512,15
247,1703925461011813141512,16
248,1753920461011813141512,17
249,1753902461011813141512,18
250,1753092461011813141512,19
251,1753692401011813141512,20
252,1753692410011813141512,21
253,1753692410141181301512,22
254,1753692410141181315012,23
255,1753692410140813151112,24
256,1753692410148013151112,25
257,1753692010148413151112,26
258,1753690210148413151112,27
259,1753698210140413151112,28
260,1753698210014413151112,29
261,1753698201014413151112,30
262,1234567891011121314150,0
263,1234567891011121314015,1
264,1234567891011121301415,2
265,1234567890111213101415,3
266,1234567891101213101415,4
267,1234560891171213101415,5
268,1234506891171213101415,6
269,1234056891171213101415,7
270,234156891171213101415,8
271,2034156891171213101415,9
272,2304156891171213101415,10
273,2340156891171213101415,11
274,2348156091171213101415,12
275,2348156129117013101415,13
276,2348156129117151310140,14
277,2348156129117151310014,15
278,2348156129117151301014,16
279,2348156129117150131014,17
280,2348156120117159131014,18
281,2348156121107159131014,19
282,2348106121157159131014,20
283,2048136121157159131014,21
284,248136121157159131014,22
285,1248036121157159131014,23
286,1248306121157159131014,24
287,1048326121157159131014,25
288,1408326121157159131014,26
289,1468320121157159131014,27
290,1468321201157159131014,28
291,1468321215115709131014,29
292,1468321215115714913100,30
293,1234567891011121314150,0
294,1234567891011013141512,1
295,1234567091011813141512,2
296,1234560791011813141512,3
297,1234561179100813141512,4
298,1234561179108013141512,5
299,1234561109108713141512,6
300,1234560119108713141512,7
301,1234506119108713141512,8
302,1234510611908713141512,9
303,1234510611914871301512,10
304,1234510611914870131512,11
305,1234510611014879131512,12
306,1234010611514879131512,13
307,234110611514879131512,14
308,2034110611514879131512,15
309,2103410611514879131512,16
310,2103416011514879131512,17
311,2103416811514079131512,18
312,2103416811514157913012,19
313,2103416811514157901312,20
314,2103416811501579141312,21
315,2103416811051579141312,22
316,2103406811151579141312,23
317,2103460811151579141312,24
318,2103465811101579141312,25
319,2103465811114157901312,26
320,2103465811114157091312,27
321,2103465811014157191312,28
322,1234567891011121314150,0
323,1234567891011121314015,1
324,1234567891011121301415,2
325,1234567891011120131415,3
326,1234567801011129131415,4
327,1234567810011129131415,5
328,1234567810131112901415,6
329,1234567810131112914015,7
330,1234567810130129141115,8
331,1234567810013129141115,9
332,1234567810141312901115,10
333,1234567810141312091115,11
334,1234567801413121091115,12
335,1234567814013121091115,13
336,1234507814613121091115,14
337,1234570814613121091115,15
338,1234571381460121091115,16
339,1234571381461201091115,17
340,1234571301461281091115,18
341,1230571341461281091115,19
342,1203571341461281091115,20
343,1213357041461281091115,21
344,1213357124146081091115,22
345,1213357124140681091115,23
346,1213357124149681001115,24
347,1213357124149681011015,25
348,1213357124149081011615,26
349,1213357124149801011615,27
350,1213357124149815101160,28
351,1213357124149815101106,29
352,1213357124149015101186,30
353,1213357041491215101186,31
354,1203571341491215101186,32
355,1023571341491215101186,33
356,1723501341491215101186,34
357,1723051341491215101186,35
358,723151341491215101186,36
359,7023151341491215101186,37
360,7523101341491215101186,38
361,1234567891011121314150,0
362,1234567891011013141512,1
363,1234567891001113141512,2
364,1234560891071113141512,3
365,1204563891071113141512,4
366,1024563891071113141512,5
367,1624503891071113141512,6
368,1624510389071113141512,7
369,1624510389701113141512,8
370,1624510389711013141512,9
371,1624510309711813141512,10
372,1620510349711813141512,11
373,1602510349711813141512,12
374,1632510049711813141512,13
375,1632501049711813141512,14
376,1632571049011813141512,15
377,1632571040911813141512,16
378,1632571041391180141512,17
379,1632571041391181401512,18
380,1632571041391181415012,19
381,1632571041390814151112,20
382,1632571041309814151112,21
383,1632571041315981401112,22
384,1632571041315980141112,23
385,1632571040159813141112,24
386,1632571041509813141112,25
387,1632571041514981301112,26
388,1632571041514981311012,27
389,1632571041514981311120,28
390,1632571041514901311128,29
391,1632571041514091311128,30
392,1632570415141091311128,31
393,1632507415141091311128,32
394,1632514741501091311128,33
395,1632514741510091311128,34
396,1234567891011121314150,0
397,1234567891011013141512,1
398,1234567891001113141512,2
399,1234560891071113141512,3
400,1234506891071113141512,4
401,1234510689071113141512,5
402,1234510689701113141512,6
403,1234510689711013141512,7
404,1234510609711813141512,8
405,1234510069711813141512,9
406,1234501069711813141512,10
407,1234571069011813141512,11
408,1234571069110813141512,12
409,1234571069111581314012,13
410,1234571069111581314120,14
411,1234571069111501314128,15
412,1234571009111561314128,16
413,1230571049111561314128,17
414,1203571049111561314128,18
415,1210357049111561314128,19
416,1210357154911061314128,20
417,1210357154901161314128,21
418,1210357154914116130128,22
419,1210357154914116013128,23
420,1210357154014116913128,24
421,1210307154514116913128,25
422,1210370154514116913128,26
423,1010372154514116913128,27
424,110372154514116913128,28
425,7110302154514116913128,29
426,7110320154514116913128,30
427,7010321154514116913128,31
428,7100321154514116913128,32
429,7101532104514116913128,33
430,7101532014514116913128,34
431,7101532141450116913128,35
432,7101532141405116913128,36
433,1234567891011121314150,0
434,1234567891011121314015,1
435,1234567891001213141115,2
436,1234567890101213141115,3
437,1234507896101213141115,4
438,1234057896101213141115,5
439,1234957806101213141115,6
440,1234957860101213141115,7
441,1234907865101213141115,8
442,1034927865101213141115,9
443,134927865101213141115,10
444,9134027865101213141115,11
445,9134627805101213141115,12
446,9134627813510120141115,13
447,9134627813510121401115,14
448,9134627813010121451115,15
449,9134627813100121451115,16
450,9134620813107121451115,17
451,9134628013107121451115,18
452,9134628121310701451115,19
453,9134628121310071451115,20
454,9134620121310871451115,21
455,9134602121310871451115,22
456,9134062121310871451115,23
457,9134136212010871451115,24
458,9134136212141087051115,25
459,9134136212141087501115,26
460,9134136212140875101115,27
461,9134136212148075101115,28
462,1234567891011121314150,0
463,1234567891011013141512,1
464,1234567891001113141512,2
465,1234567891015111314012,3
466,1234567891015111301412,4
467,1234567891015110131412,5
468,1234567801015119131412,6
469,1234567810015119131412,7
470,1234567810150119131412,8
471,1234567810151411913012,9
472,1234567810151411901312,10
473,1234567810014119151312,11
474,1234567810140119151312,12
475,1234567810141109151312,13
476,1234567810141112915130,14
477,1234567810141112915013,15
478,1234567810140129151113,16
479,1234560810147129151113,17
480,1234568010147129151113,18
481,1230568410147129151113,19
482,1203568410147129151113,20
483,1283560410147129151113,21
484,1283567410140129151113,22
485,1283567410141209151113,23
486,1283567010141249151113,24
487,1283560710141249151113,25
488,1283561271014049151113,26
489,1283561271014114915013,27
490,1283561271014114915130,28
491,1234567891011121314150,0
492,1234567891011013141512,1
493,1234567091011813141512,2
494,1234560791011813141512,3
495,1234561179100813141512,4
496,1234561179010813141512,5
497,1234561170910813141512,6
498,1234061175910813141512,7
499,1234601175910813141512,8
500,1234691175010813141512,9
501,1234691175141081301512,10
502,1234691175141080131512,11
503,1234691170141085131512,12
504,1234691171401085131512,13
505,1234601171491085131512,14
506,1034621171491085131512,15
507,134621171491085131512,16
508,6134021171491085131512,17
509,6134142117091085131512,18
510,6134142117901085131512,19
511,6134142117910085131512,20
512,6134142117910158513012,21
513,6134142117910158501312,22
514,6134142117901585101312,23
515,6134140117921585101312,24
516,6034141117921585101312,25
517,6304141117921585101312,26
518,1234567891011121314150,0
519,1234567891011121314015,1
520,1234567891011121301415,2
521,1234567890111213101415,3
522,1234567809111213101415,4
523,1234567813911120101415,5
524,1234567813911121001415,6
525,1234567813011121091415,7
526,1234567813110121091415,8
527,1234567813111201091415,9
528,1234567013111281091415,10
529,1234560713111281091415,11
530,1204563713111281091415,12
531,1024563713111281091415,13
532,1624503713111281091415,14
533,1624511371301281091415,15
534,1624511370131281091415,16
535,1624011375131281091415,17
536,624111375131281091415,18
537,6024111375131281091415,19
538,6204111375131281091415,20
539,6240111375131281091415,21
540,6247111305131281091415,22
541,6247111385131201091415,23
542,6247111385130121091415,24
543,6247111385013121091415,25
544,6247103851113121091415,26
545,6247130851113121091415,27
546,6207134851113121091415,28
547,1234567891011121314150,0
548,1234567891011121314015,1
549,1234567891001213141115,2
550,1234560891071213141115,3
551,1234506891071213141115,4
552,1234510689071213141115,5
553,1234510689147121301115,6
554,1234510689147120131115,7
555,1234510680147129131115,8
556,1234010685147129131115,9
557,1234100685147129131115,10
558,1234101468507129131115,11
559,1234101468570129131115,12
560,1234101468571209131115,13
561,1234101460571289131115,14
562,1234101406571289131115,15
563,1204101436571289131115,16
564,1024101436571289131115,17
565,124101436571289131115,18
566,1012401436571289131115,19
567,1012414036571289131115,20
568,1012414306571289131115,21
569,1012414360571289131115,22
570,1012014364571289131115,23
571,1010214364571289131115,24
572,1001214364571289131115,25
573,1031214064571289131115,26
574,1031214764501289131115,27
575,1031214764513128901115,28
576,1031214764513128091115,29
577,1031214764013128591115,30
578,1031214764130128591115,31
579,1031214764139128501115,32
580,1234567891011121314150,0
581,1234567891011121314015,1
582,1234567891001213141115,2
583,1234567890101213141115,3
584,1234567891410121301115,4
585,1234567891410121311015,5
586,1234567891401213111015,6
587,1234567891412013111015,7
588,1234567091412813111015,8
589,1234560791412813111015,9
590,1204563791412813111015,10
591,1024563791412813111015,11
592,1624503791412813111015,12
593,1624053791412813111015,13
594,1624953701412813111015,14
595,1624953714012813111015,15
596,1624953714120813111015,16
597,1624950714123813111015,17
598,1624905714123813111015,18
599,1624912571403813111015,19
600,1624912571411381301015,20
601,1624912571411381310015,21
602,1624912571411381310150,22
603,1624912571411301310158,23
604,1624912571411031310158,24
605,1624912071411531310158,25
606,1624912701411531310158,26
607,1620912741411531310158,27
608,1602912741411531310158,28
609,1062912741411531310158,29
610,162912741411531310158,30
611,9162012741411531310158,31
612,9162141274011531310158,32
613,9162141274131153010158,33
614,9162141274131153100158,34
615,9162141274131153101508,35
616,9162141274131103101558,36
617,9162141274130113101558,37
618,9162140741312113101558,38
619,1234567891011121314150,0
620,1234567891011121314015,1
621,1234567891001213141115,2
622,1234567891012013141115,3
623,1234567091012813141115,4
624,1234560791012813141115,5
625,1204563791012813141115,6
626,1024563791012813141115,7
627,124563791012813141115,8
628,5124063791012813141115,9
629,5124603791012813141115,10
630,5124610379012813141115,11
631,5124610379141281301115,12
632,5124610379141281311015,13
633,5124610379140813111215,14
634,5124610379014813111215,15
635,5124603791014813111215,16
636,5124630791014813111215,17
637,5124637091014813111215,18
638,5120637491014813111215,19
639,5102637491014813111215,20
640,1234567891011121314150,0
641,1234567891011121314015,1
642,1234567891001213141115,2
643,1234567890101213141115,3
644,1234567809101213141115,4
645,1234067859101213141115,5
646,1234607859101213141115,6
647,1234670859101213141115,7
648,1204673859101213141115,8
649,1024673859101213141115,9
650,124673859101213141115,10
651,6124073859101213141115,11
652,6124573809101213141115,12
653,6124573890101213141115,13
654,6124503897101213141115,14
655,6124053897101213141115,15
656,6124953807101213141115,16
657,6124953813710120141115,17
658,6124953813710121401115,18
659,6124953813010121471115,19
660,6124903813510121471115,20
661,6124093813510121471115,21
662,6124139380510121471115,22
663,6124139385010121471115,23
664,6124139385100121471115,24
665,6124139385101201471115,25
666,6124139305101281471115,26
667,6120139345101281471115,27
668,6102139345101281471115,28
669,6132139045101281471115,29
