,col1,col2,col3,col4,ans
0,1234,5678,9101112,1314150,0
1,1234,5678,9101112,1314150,0
2,1234,5678,910110,13141512,1
3,1234,5678,910011,13141512,2
4,1234,5608,910711,13141512,3
5,1204,5638,910711,13141512,4
6,1024,5638,910711,13141512,5
7,124,5638,910711,13141512,6
8,5124,638,910711,13141512,7
9,5124,9638,10711,13141512,8
10,5124,9638,100711,13141512,9
11,5124,9638,1014711,1301512,10
12,5124,9638,1014711,1315012,11
13,5124,9638,1014011,1315712,12
14,5124,9638,1001411,1315712,13
15,5124,9038,1061411,1315712,14
16,5124,9308,1061411,1315712,15
17,5124,9380,1061411,1315712,16
18,5120,9384,1061411,1315712,17
19,5102,9384,1061411,1315712,18
20,5012,9384,1061411,1315712,19
21,5312,9084,1061411,1315712,20
22,5312,9804,1061411,1315712,21
23,5312,9840,1061411,1315712,22
24,5310,9842,1061411,1315712,23
25,5301,9842,1061411,1315712,24
26,5341,9802,1061411,1315712,25
27,5341,98142,106011,1315712,26
28,5341,98142,106110,1315712,27
29,5341,98140,106112,1315712,28
30,5341,98014,106112,1315712,29
31,5301,98414,106112,1315712,30
32,5031,98414,106112,1315712,31
33,5831,90414,106112,1315712,32
34,5831,9414,106112,1315712,33
35,831,59414,106112,1315712,34
36,1234,5678,9101112,1314150,0
37,1234,5678,910110,13141512,1
38,1234,5678,910011,13141512,2
39,1234,5608,910711,13141512,3
40,1204,5638,910711,13141512,4
41,1240,5638,910711,13141512,5
42,1248,5630,910711,13141512,6
43,1248,5603,910711,13141512,7
44,1248,5673,910011,13141512,8
45,1248,5673,9101511,1314012,9
46,1248,5673,9101511,1314120,10
47,1248,5673,910150,13141211,11
48,1248,5670,910153,13141211,12
49,1240,5678,910153,13141211,13
50,1204,5678,910153,13141211,14
51,1274,5608,910153,13141211,15
52,1274,5680,910153,13141211,16
53,1270,5684,910153,13141211,17
54,1207,5684,910153,13141211,18
55,1027,5684,910153,13141211,19
56,1627,5084,910153,13141211,20
57,1627,5804,910153,13141211,21
58,1627,58154,91003,13141211,22
59,1627,58154,910123,1314011,23
60,1627,58154,910123,1314110,24
61,1627,58154,910120,1314113,25
62,1627,58154,910012,1314113,26
63,1627,58154,9101112,131403,27
64,1627,58154,9101112,130143,28
65,1627,58154,901112,1310143,29
66,1627,50154,981112,1310143,30
67,1027,56154,981112,1310143,31
68,127,56154,981112,1310143,32
69,1234,5678,9101112,1314150,0
70,1234,5678,910110,13141512,1
71,1234,5678,910011,13141512,2
72,1234,5678,901011,13141512,3
73,1234,5078,961011,13141512,4
74,1034,5278,961011,13141512,5
75,1304,5278,961011,13141512,6
76,1374,5208,961011,13141512,7
77,1374,52108,96011,13141512,8
78,1374,52108,961511,1314012,9
79,1374,52108,961511,1301412,10
80,1374,52108,901511,1361412,11
81,1374,52108,91511,1361412,12
82,1374,2108,591511,1361412,13
83,1374,20108,591511,1361412,14
84,1074,23108,591511,1361412,15
85,1704,23108,591511,1361412,16
86,17104,2308,591511,1361412,17
87,17104,2038,591511,1361412,18
88,17104,2938,501511,1361412,19
89,17104,2938,515011,1361412,20
90,17104,2938,5151411,136012,21
91,17104,2938,5151411,136120,22
92,17104,2938,515140,1361211,23
93,17104,2930,515148,1361211,24
94,17100,2934,515148,1361211,25
95,17010,2934,515148,1361211,26
96,10710,2934,515148,1361211,27
97,19710,2034,515148,1361211,28
98,19710,234,515148,1361211,29
99,19710,5234,15148,1361211,30
100,19710,5234,1315148,61211,31
101,19710,5234,1315148,601211,32
102,19710,5234,130148,6151211,33
103,19710,5234,131408,6151211,34
104,19710,5234,1314128,615011,35
105,19710,5234,1314128,601511,36
106,1234,5678,9101112,1314150,0
107,1234,5678,910110,13141512,1
108,1234,5678,910011,13141512,2
109,1234,5678,9101511,1314012,3
110,1234,5678,9101511,1301412,4
111,1234,5678,9101511,131412,5
112,1234,5678,101511,9131412,6
113,1234,678,5101511,9131412,7
114,234,1678,5101511,9131412,8
115,2034,1678,5101511,9131412,9
116,2634,1078,5101511,9131412,10
117,2634,11078,501511,9131412,11
118,2634,11078,515011,9131412,12
119,2634,11078,5151411,913012,13
120,2634,11078,5151411,913120,14
121,2634,11078,515140,9131211,15
122,2634,11070,515148,9131211,16
123,2634,11007,515148,9131211,17
124,2604,11037,515148,9131211,18
125,2640,11037,515148,9131211,19
126,2647,11030,515148,9131211,20
127,2647,11003,515148,9131211,21
128,2647,10103,515148,9131211,22
129,2647,1103,515148,9131211,23
130,2647,51103,15148,9131211,24
131,2647,51103,150148,9131211,25
132,2647,51103,151408,9131211,26
133,1234,5678,9101112,1314150,0
134,1234,5678,910110,13141512,1
135,1234,5670,910118,13141512,2
136,1234,5607,910118,13141512,3
137,1234,56117,91008,13141512,4
138,1234,56117,91080,13141512,5
139,1234,56110,91087,13141512,6
140,1234,56011,91087,13141512,7
141,1234,50611,91087,13141512,8
142,1234,510611,9087,13141512,9
143,1234,510611,987,13141512,10
144,1234,10611,5987,13141512,11
145,234,110611,5987,13141512,12
146,2034,110611,5987,13141512,13
147,21034,10611,5987,13141512,14
148,21034,19611,5087,13141512,15
149,21034,19611,587,13141512,16
150,21034,19611,13587,141512,17
151,21034,19611,13587,1401512,18
152,21034,19611,13587,1415012,19
153,21034,19611,13507,1415812,20
154,21034,19611,13057,1415812,21
155,21034,10611,13957,1415812,22
156,21034,16011,13957,1415812,23
157,21034,16511,13907,1415812,24
158,21034,16511,13097,1415812,25
159,21034,16511,1397,1415812,26
160,21034,16511,141397,15812,27
161,21034,16511,141397,150812,28
162,21034,16511,14097,1513812,29
163,21034,16511,14907,1513812,30
164,21034,16511,14970,1513812,31
165,21034,1650,149711,1513812,32
166,1234,5678,9101112,1314150,0
167,1234,5678,9101112,1314015,1
168,1234,5678,910012,13141115,2
169,1234,5678,901012,13141115,3
170,1234,5678,91012,13141115,4
171,1234,5678,1391012,141115,5
172,1234,5678,1391012,1401115,6
173,1234,5678,1391012,1411015,7
174,1234,5678,1391012,1411150,8
175,1234,5678,139100,14111512,9
176,1234,5678,139010,14111512,10
177,1234,5678,130910,14111512,11
178,1234,5678,13910,14111512,12
179,1234,678,513910,14111512,13
180,1234,6078,513910,14111512,14
181,1234,6708,513910,14111512,15
182,1234,6798,513010,14111512,16
183,1234,6798,5131510,1411012,17
184,1234,6798,5131510,1401112,18
185,1234,6798,5131510,141112,19
186,1234,6798,131510,5141112,20
187,1234,798,6131510,5141112,21
188,234,1798,6131510,5141112,22
189,2034,1798,6131510,5141112,23
190,2734,1098,6131510,5141112,24
191,2734,11398,601510,5141112,25
192,2734,11398,615010,5141112,26
193,1234,5678,9101112,1314150,0
194,1234,5678,9101112,1314015,1
195,1234,5678,9101112,1301415,2
196,1234,5678,901112,13101415,3
197,1234,5078,961112,13101415,4
198,1234,5708,961112,13101415,5
199,1204,5738,961112,13101415,6
200,1240,5738,961112,13101415,7
201,1248,5730,961112,13101415,8
202,1248,57312,96110,13101415,9
203,1248,57312,96011,13101415,10
204,1248,57312,90611,13101415,11
205,1248,57312,910611,1301415,12
206,1248,57312,910611,1314015,13
207,1248,57312,910611,1314150,14
208,1248,57312,91060,13141511,15
209,1248,57312,91006,13141511,16
210,1248,57312,90106,13141511,17
211,1248,57312,9106,13141511,18
212,1234,5678,9101112,1314150,0
213,1234,5678,9101112,1314015,1
214,1234,5678,910012,13141115,2
215,1234,5678,901012,13141115,3
216,1234,5078,961012,13141115,4
217,1034,5278,961012,13141115,5
218,1304,5278,961012,13141115,6
219,1374,5208,961012,13141115,7
220,1374,52108,96012,13141115,8
221,1374,52108,96120,13141115,9
222,1374,52100,96128,13141115,10
223,1374,52010,96128,13141115,11
224,1374,521210,9608,13141115,12
225,1374,521210,9068,13141115,13
226,1374,501210,9268,13141115,14
227,1374,51210,9268,13141115,15
228,374,151210,9268,13141115,16
229,3074,151210,9268,13141115,17
230,3574,101210,9268,13141115,18
231,3574,11210,9268,13141115,19
232,3574,911210,268,13141115,20
233,3574,911210,13268,141115,21
234,3574,911210,13268,1401115,22
235,3574,911210,13268,1411015,23
236,3574,911210,13208,1411615,24
237,1234,5678,9101112,1314150,0
238,1234,5678,9101112,1314015,1
239,1234,5678,9101112,1301415,2
240,1234,5678,9101112,131415,3
241,1234,5678,101112,9131415,4
242,1234,5678,1001112,9131415,5
243,1234,5078,1061112,9131415,6
244,1234,578,1061112,9131415,7
245,234,1578,1061112,9131415,8
246,2034,1578,1061112,9131415,9
247,2304,1578,1061112,9131415,10
248,2374,1508,1061112,9131415,11
249,2374,1580,1061112,9131415,12
250,2374,15812,106110,9131415,13
251,2374,15812,106011,9131415,14
252,2374,15812,100611,9131415,15
253,2374,15812,1013611,901415,16
254,2374,15812,1013611,91415,17
255,2374,15812,13611,1091415,18
256,2374,5812,113611,1091415,19
257,2374,50812,113611,1091415,20
258,2074,53812,113611,1091415,21
259,2704,53812,113611,1091415,22
260,2740,53812,113611,1091415,23
261,27412,5380,113611,1091415,24
262,27412,5308,113611,1091415,25
263,27412,5038,113611,1091415,26
264,20412,5738,113611,1091415,27
265,24012,5738,113611,1091415,28
266,24312,5708,113611,1091415,29
267,24312,5768,113011,1091415,30
268,1234,5678,9101112,1314150,0
269,1234,5678,910110,13141512,1
270,1234,5678,910011,13141512,2
271,1234,5608,910711,13141512,3
272,1204,5638,910711,13141512,4
273,1240,5638,910711,13141512,5
274,1248,5630,910711,13141512,6
275,1248,5603,910711,13141512,7
276,1208,5643,910711,13141512,8
277,1028,5643,910711,13141512,9
278,128,5643,910711,13141512,10
279,5128,643,910711,13141512,11
280,5128,9643,10711,13141512,12
281,5128,9643,100711,13141512,13
282,5128,9643,107011,13141512,14
283,5128,9643,1071511,1314012,15
284,5128,9643,1071511,1314120,16
285,5128,9643,107150,13141211,17
286,5128,9640,107153,13141211,18
287,5128,9604,107153,13141211,19
288,5128,9064,107153,13141211,20
289,5128,9764,100153,13141211,21
290,5128,9764,1014153,1301211,22
291,5128,9764,1014153,1312011,23
292,5128,9764,1014153,1312110,24
293,5128,9764,1014150,1312113,25
294,5128,9764,1014015,1312113,26
295,5128,9764,1001415,1312113,27
296,5128,9064,1071415,1312113,28
297,5028,9164,1071415,1312113,29
298,528,9164,1071415,1312113,30
299,9528,164,1071415,1312113,31
300,9528,1064,1071415,1312113,32
301,9028,1564,1071415,1312113,33
302,928,1564,1071415,1312113,34
303,1234,5678,9101112,1314150,0
304,1234,5678,910110,13141512,1
305,1234,5678,910011,13141512,2
306,1234,5608,910711,13141512,3
307,1234,5068,910711,13141512,4
308,1234,51068,90711,13141512,5
309,1234,51068,97011,13141512,6
310,1234,51008,97611,13141512,7
311,1234,50108,97611,13141512,8
312,1234,5108,97611,13141512,9
313,234,15108,97611,13141512,10
314,2034,15108,97611,13141512,11
315,2304,15108,97611,13141512,12
316,23104,1508,97611,13141512,13
317,23104,1568,97011,13141512,14
318,23104,1568,971511,1314012,15
319,23104,1568,971511,1314120,16
320,23104,1568,97150,13141211,17
321,23104,1568,97015,13141211,18
322,23104,1568,90715,13141211,19
323,23104,1568,9715,13141211,20
324,23104,568,19715,13141211,21
325,3104,2568,19715,13141211,22
326,30104,2568,19715,13141211,23
327,35104,2068,19715,13141211,24
328,35104,2968,10715,13141211,25
329,35104,2968,17015,13141211,26
330,35104,2908,17615,13141211,27
331,35104,2098,17615,13141211,28
332,35104,2798,10615,13141211,29
333,35104,2798,114615,1301211,30
334,35104,2798,114615,131211,31
335,35104,2798,14615,1131211,32
336,1234,5678,9101112,1314150,0
337,1234,5678,910110,13141512,1
338,1234,5678,910011,13141512,2
339,1234,5608,910711,13141512,3
340,1234,5068,910711,13141512,4
341,1234,51068,90711,13141512,5
342,1234,51068,97011,13141512,6
343,1234,51008,97611,13141512,7
344,1204,51038,97611,13141512,8
345,1240,51038,97611,13141512,9
346,1248,51030,97611,13141512,10
347,1248,510311,9760,13141512,11
348,1248,510311,97612,1314150,12
349,1248,510311,97612,1314015,13
350,1248,510311,97012,1314615,14
351,1248,510311,90712,1314615,15
352,1248,50311,910712,1314615,16
353,1248,53011,910712,1314615,17
354,1208,53411,910712,1314615,18
355,1280,53411,910712,1314615,19
356,12811,5340,910712,1314615,20
357,12811,53412,91070,1314615,21
358,12811,53412,910715,131460,22
359,12811,53412,910715,131406,23
360,12811,53412,910015,131476,24
361,12811,53012,910415,131476,25
362,12011,53812,910415,131476,26
363,12110,53812,910415,131476,27
364,121112,5380,910415,131476,28
365,1234,5678,9101112,1314150,0
366,1234,5678,910110,13141512,1
367,1234,5678,910011,13141512,2
368,1234,5678,9101511,1314012,3
369,1234,5678,9101511,1314120,4
370,1234,5678,910150,13141211,5
371,1234,5670,910158,13141211,6
372,1234,5607,910158,13141211,7
373,1234,5067,910158,13141211,8
374,1034,5267,910158,13141211,9
375,134,5267,910158,13141211,10
376,5134,267,910158,13141211,11
377,5134,9267,10158,13141211,12
378,5134,9267,100158,13141211,13
379,5134,9267,1014158,1301211,14
380,5134,9267,1014158,131211,15
381,5134,9267,14158,10131211,16
382,5134,267,914158,10131211,17
383,5134,2067,914158,10131211,18
384,5134,21467,90158,10131211,19
385,5134,21467,91508,10131211,20
386,5134,21407,91568,10131211,21
387,5134,20147,91568,10131211,22
388,5034,21147,91568,10131211,23
389,5304,21147,91568,10131211,24
390,53144,2107,91568,10131211,25
391,53144,2170,91568,10131211,26
392,53140,2174,91568,10131211,27
393,53014,2174,91568,10131211,28
394,53714,2104,91568,10131211,29
395,53714,2140,91568,10131211,30
396,53714,2148,91560,10131211,31
397,53714,2148,91506,10131211,32
398,53714,2148,915126,1013011,33
399,53714,2148,915126,1001311,34
400,1234,5678,9101112,1314150,0
401,1234,5678,910110,13141512,1
402,1234,5670,910118,13141512,2
403,1230,5674,910118,13141512,3
404,1203,5674,910118,13141512,4
405,1023,5674,910118,13141512,5
406,1623,5074,910118,13141512,6
407,1623,51074,90118,13141512,7
408,1623,51074,91108,13141512,8
409,1623,51004,91178,13141512,9
410,1623,51040,91178,13141512,10
411,1623,51048,91170,13141512,11
412,1623,51048,91107,13141512,12
413,1623,51048,90117,13141512,13
414,1623,51048,914117,1301512,14
415,1623,51048,914117,1315012,15
416,1623,51048,914117,1315120,16
417,1623,51048,914110,1315127,17
418,1623,51048,914011,1315127,18
419,1623,51048,901411,1315127,19
420,1623,51048,9151411,130127,20
421,1234,5678,9101112,1314150,0
422,1234,5678,910110,13141512,1
423,1234,5670,910118,13141512,2
424,1234,5607,910118,13141512,3
425,1204,5637,910118,13141512,4
426,1240,5637,910118,13141512,5
427,1247,5630,910118,13141512,6
428,1247,5603,910118,13141512,7
429,1247,5063,910118,13141512,8
430,1047,5263,910118,13141512,9
431,147,5263,910118,13141512,10
432,5147,263,910118,13141512,11
433,5147,2063,910118,13141512,12
434,5147,2603,910118,13141512,13
435,5107,2643,910118,13141512,14
436,5017,2643,910118,13141512,15
437,517,2643,910118,13141512,16
438,2517,643,910118,13141512,17
439,2517,9643,10118,13141512,18
440,2517,9643,100118,13141512,19
441,2517,9643,1014118,1301512,20
442,2517,9643,1014118,131512,21
443,2517,9643,14118,10131512,22
444,2517,9643,140118,10131512,23
445,2517,9043,146118,10131512,24
446,2517,943,146118,10131512,25
447,517,2943,146118,10131512,26
448,5017,2943,146118,10131512,27
449,5917,2043,146118,10131512,28
450,5917,2403,146118,10131512,29
451,5917,2430,146118,10131512,30
452,1234,5678,9101112,1314150,0
453,1234,5678,910110,13141512,1
454,1234,5670,910118,13141512,2
455,1234,5607,910118,13141512,3
456,1204,5637,910118,13141512,4
457,1024,5637,910118,13141512,5
458,1624,5037,910118,13141512,6
459,1624,51037,90118,13141512,7
460,1624,51037,91108,13141512,8
461,1624,51037,911158,1314012,9
462,1624,51037,911158,1301412,10
463,1624,51037,90158,13111412,11
464,1624,5037,910158,13111412,12
465,1624,5307,910158,13111412,13
466,1624,53157,91008,13111412,14
467,1624,53157,90108,13111412,15
468,1624,53157,911108,1301412,16
469,1624,53157,911108,1314012,17
470,1624,53157,91108,13141012,18
471,1624,53157,91180,13141012,19
472,1624,53150,91187,13141012,20
473,1620,53154,91187,13141012,21
474,1602,53154,91187,13141012,22
475,16152,5304,91187,13141012,23
476,16152,5034,91187,13141012,24
477,10152,5634,91187,13141012,25
478,11502,5634,91187,13141012,26
479,11532,5604,91187,13141012,27
480,11532,5640,91187,13141012,28
481,11532,5647,91180,13141012,29
482,11532,5647,911812,1314100,30
483,11532,5647,911812,1314010,31
484,11532,5647,911812,1301410,32
485,1234,5678,9101112,1314150,0
486,1234,5678,910110,13141512,1
487,1234,5678,910011,13141512,2
488,1234,5608,910711,13141512,3
489,1204,5638,910711,13141512,4
490,1024,5638,910711,13141512,5
491,124,5638,910711,13141512,6
492,5124,638,910711,13141512,7
493,5124,9638,10711,13141512,8
494,5124,9638,100711,13141512,9
495,5124,9638,107011,13141512,10
496,5124,9638,107110,13141512,11
497,5124,9630,107118,13141512,12
498,5124,9603,107118,13141512,13
499,5124,96113,10708,13141512,14
500,5124,96113,10078,13141512,15
501,5124,90113,10678,13141512,16
502,5124,91103,10678,13141512,17
503,5124,91173,10608,13141512,18
504,5124,91173,106158,1314012,19
505,5124,91173,106158,1314120,20
506,5124,91173,106150,1314128,21
507,5124,91173,106015,1314128,22
508,5124,91173,1061215,131408,23
